Title,Released,Prod_Budget,Dom_Gross,World_Gross
Town & Country,2001-04-27,105000000.0,6712451.0,10364769.0
The Princess and the Frog,2009-11-25,105000000.0,104400899.0,270997378.0
Gone in 60 Seconds,2000-06-09,103300000.0,101643008.0,232643008.0
The Hangover 3,2013-05-23,103000000.0,112200072.0,362000072.0
Gladiator,2000-05-05,103000000.0,187683805.0,457683805.0
Public Enemies,2009-07-01,102500000.0,97104620.0,212282709.0
Minority Report,2002-06-21,102000000.0,132024714.0,358824714.0
Cloud Atlas,2012-10-26,102000000.0,27108272.0,130673154.0
Casino Royale,2006-11-17,102000000.0,167365000.0,594420283.0
The Other Guys,2010-08-06,100000000.0,119219978.0,170936470.0
Lemony Snicket's A Series of Unfortunate Events,2004-12-17,100000000.0,118627117.0,212956024.0
Starship Troopers,1997-11-07,100000000.0,54768952.0,121100000.0
Catwoman,2004-07-23,100000000.0,40202379.0,82145379.0
End of Days,1999-11-24,100000000.0,66889043.0,212026975.0
Hercules,2014-07-25,100000000.0,72688614.0,243388614.0
Eragon,2006-12-15,100000000.0,75030163.0,249488115.0
The Adventures of Pluto Nash,2002-08-16,100000000.0,4411102.0,7094995.0
National Treasure,2004-11-19,100000000.0,173005002.0,331323410.0
The Emperor's New Groove,2000-12-15,100000000.0,89296573.0,169296573.0
The Wolf of Wall Street,2013-12-25,100000000.0,116900694.0,391976723.0
Cloudy with a Chance of Meatballs,2009-09-18,100000000.0,124870275.0,236827677.0
Land of the Lost,2009-06-05,100000000.0,49438370.0,69548641.0
Planet of the Apes,2001-07-27,100000000.0,180011740.0,362211740.0
The Tourist,2010-12-10,100000000.0,67631157.0,278731369.0
Transcendence,2014-04-18,100000000.0,23022309.0,103039258.0
Batman Forever,1995-06-16,100000000.0,184031112.0,336529144.0
Legend of the Guardians: The Owls of Ga'Hoole,2010-09-24,100000000.0,55675313.0,139716717.0
The Spanish Prisoner,1998-04-03,100000000.0,10162034.0,13835130.0
Green Zone,2010-03-12,100000000.0,35497337.0,97523020.0
True Lies,1994-07-15,100000000.0,146282411.0,365300000.0
The Expendables 3,2014-08-15,100000000.0,39322544.0,209461378.0
Where the Wild Things Are,2009-10-16,100000000.0,77233467.0,99123656.0
Son of the Mask,2005-02-18,100000000.0,17018422.0,59918422.0
Treasure Planet,2002-11-27,100000000.0,38120554.0,91800000.0
The Expendables 2,2012-08-17,100000000.0,85028192.0,311979256.0
Point Break,2015-12-25,100000000.0,28782481.0,128131571.0
The Stepford Wives,2004-06-11,100000000.0,59475623.0,96221971.0
Terminator 2: Judgment Day,1991-07-02,100000000.0,201858746.0,513815401.0
Blood Diamond,2006-12-08,100000000.0,57377916.0,171377916.0
Eraser,1996-06-21,100000000.0,101295562.0,234400000.0
In the Heart of the Sea,2015-12-11,100000000.0,25020758.0,90420758.0
Django Unchained,2012-12-25,100000000.0,162805434.0,449948323.0
Little Fockers,2010-12-22,100000000.0,148438600.0,310650574.0
Harry Potter and the Chamber of Secrets,2002-11-15,100000000.0,261987880.0,878979634.0
Epic,2013-05-24,100000000.0,107518682.0,262794441.0
Jin líng shí san chai,2011-12-21,100000000.0,311434.0,93721434.0
Surf's Up,2007-06-08,100000000.0,58867694.0,145395745.0
The Hunchback of Notre Dame,1996-06-21,100000000.0,100138851.0,325500000.0
Peter Pan,2003-12-25,100000000.0,48417850.0,95255485.0
American Gangster,2007-11-02,100000000.0,130164645.0,267985456.0
The Peanuts Movie,2015-11-06,99000000.0,130178411.0,244778411.0
The Mummy Returns,2001-05-04,98000000.0,202007640.0,435040395.0
Gangs of New York,2002-12-20,97000000.0,77730500.0,183124621.0
Jack Reacher: Never Go Back,2016-10-21,96000000.0,0.0,0.0
The Road to El Dorado,2000-03-31,95000000.0,50802661.0,65700000.0
